feature	ASV1	ASV2	ASV3	ASV4	ASV10	ASV11	ASV13	ASV15	ASV17	ASV18	ASV27	ASV28	ASV33	ASV36	ASV53	ASV62	ASV63	ASV67	ASV68	ASV73	ASV74	ASV76	ASV81	ASV82	ASV86	ASV87	ASV88	ASV90	ASV93	ASV99	ASV100	ASV105	ASV107	ASV108	ASV117	ASV121	ASV126	ASV129	ASV137	ASV138	ASV139	ASV147	ASV148	ASV161	ASV169	ASV182	ASV188	ASV190	ASV205	ASV215	ASV226	ASV228	ASV233	ASV234	ASV238	ASV240	ASV245	ASV261	ASV262	ASV263	ASV275	ASV301	ASV348	ASV362	ASV365	ASV369	ASV399	ASV404	ASV412	ASV414	ASV419	ASV439	ASV449	ASV493	ASV498	ASV504	ASV530	ASV576
Preg.Feces.PD.2107.week0	827	572	6867	108	1204	255	40	6	225	548	48	7	108	213	258	46	18	95	16	74	53	531	0	88	108	103	103	104	34	138	85	0	207	105	5	17	10	50	251	47	20	61	11	30	22	20	11	0	31	54	46	5	47	11	9	17	25	15	11	7	3	30	2	11	0	6	0	0	2	0	4	3	3	0	3	0	5	0
Preg.Feces.PD.2107.week3	880	264	4139	392	1357	202	471	151	2680	361	226	4	67	161	236	42	422	19	19	10	232	515	0	14	41	48	46	65	31	97	111	0	126	174	164	51	13	57	104	15	12	326	28	17	15	15	12	10	22	16	4	5	53	11	0	0	29	0	11	0	0	20	7	15	0	5	4	0	7	8	3	5	0	2	0	0	3	0
Preg.Feces.PD.2107.week6.2	1506	235	1261	48	2019	1617	36	4061	0	500	0	1987	26	1901	546	242	6	181	622	193	92	2039	0	262	83	41	0	149	32	217	404	0	504	302	27	0	0	163	0	238	57	0	0	90	42	4	0	0	53	0	0	0	37	0	9	108	111	45	0	0	0	0	0	5	0	0	7	0	10	0	10	0	0	0	4	0	0	0
Preg.Feces.PD.2108.week0	461	450	6577	135	670	548	20	41	186	200	39	89	73	115	78	11	16	107	22	189	33	475	0	169	99	81	57	109	50	145	76	0	157	148	8	19	34	67	157	21	26	42	16	68	20	4	5	0	39	12	167	15	23	0	8	13	28	4	0	0	19	9	0	10	0	0	0	2	0	0	4	0	3	0	0	0	0	10
Preg.Feces.PD.2108.week3	544	155	5221	501	641	99	735	316	2	201	0	694	2	115	125	24	357	23	115	5	68	514	0	28	185	36	0	40	16	73	51	0	38	66	134	0	16	39	0	14	11	0	0	21	3	0	10	6	11	0	0	3	14	0	0	0	31	0	0	0	0	3	0	0	0	0	0	0	0	8	0	10	0	3	0	0	0	0
Preg.Feces.PD.2108.week6.2	1965	296	3245	299	2720	1255	63	1726	9	2409	11	76	9	1105	760	209	52	133	208	451	4	2265	4	43	74	37	16	118	89	128	433	0	293	109	51	0	66	112	0	292	51	0	0	61	16	0	0	0	40	0	2	11	17	0	8	7	86	4	0	0	0	2	0	0	8	0	12	0	0	0	28	0	0	0	0	0	0	0
Preg.Feces.PD.2115.week0	503	228	5012	75	1035	186	20	8	121	236	173	25	80	171	132	13	17	72	7	55	153	371	42	84	68	88	52	93	25	80	47	0	83	38	11	14	52	20	41	9	9	0	8	55	15	13	0	2	8	34	92	7	11	22	0	7	12	6	8	0	28	10	6	0	5	4	0	2	0	0	0	0	0	0	0	0	0	0
Preg.Feces.PD.2115.week3	777	248	2050	829	1074	95	511	79	465	252	140	2	85	150	239	21	289	21	17	9	86	581	0	15	61	38	100	60	0	51	85	35	63	122	49	24	4	38	45	15	6	569	20	21	8	10	2	0	19	52	20	2	28	9	6	0	10	0	20	0	3	8	0	8	0	5	0	2	0	2	0	0	0	0	4	3	0	0
Preg.Feces.PD.2115.week6.2	1194	427	5113	200	1786	336	24	844	0	801	169	65	129	517	712	142	52	119	44	40	108	1124	45	25	99	32	19	118	25	156	109	57	264	311	48	0	84	12	0	39	50	16	0	102	16	22	5	0	62	0	0	9	20	0	0	24	52	11	0	15	5	8	0	2	0	0	5	0	5	0	23	0	3	0	0	0	0	0
Preg.Feces.PD.2121.week0	859	346	4773	125	1004	175	28	28	176	317	136	84	81	105	181	24	17	64	9	13	94	487	17	48	123	82	61	136	97	138	80	0	107	187	15	42	15	31	55	17	34	0	14	35	30	20	0	29	20	39	96	7	19	8	22	11	9	21	5	11	0	2	0	6	3	0	0	3	0	0	0	0	0	0	0	0	0	0
Preg.Feces.PD.2121.week3	1066	314	5847	1104	1242	113	1149	39	2595	261	313	0	101	91	154	49	359	21	17	18	64	683	13	20	94	62	81	91	18	32	54	0	62	148	221	96	69	40	62	7	15	0	78	42	10	11	40	5	16	8	49	28	19	12	0	0	34	0	11	12	2	3	4	14	0	5	0	2	9	8	2	12	0	0	0	6	0	0
Preg.Feces.PD.2121.week6.2	1220	377	6552	29	1386	895	14	178	810	787	279	426	260	80	329	117	6	42	17	39	72	645	8	163	224	53	64	84	9	78	149	0	197	126	18	30	121	16	96	18	18	728	0	84	20	13	12	18	31	145	0	15	29	10	3	6	34	8	7	0	0	0	0	0	0	5	0	4	5	0	0	0	2	0	0	0	0	15
Preg.Feces.PD.2152.week0	2252	1311	9032	416	2450	1021	182	70	21	990	237	56	354	662	350	61	101	227	55	238	358	1346	157	118	90	187	212	333	39	184	214	10	431	369	27	73	80	90	344	70	56	3	41	111	25	11	10	8	53	42	0	18	67	31	11	25	56	10	21	9	4	11	8	10	0	18	5	5	0	2	8	0	0	5	0	0	0	0
Preg.Feces.PD.2152.week3	1457	150	4547	547	863	96	611	88	4177	319	232	7	40	138	155	74	298	23	12	10	102	470	0	17	26	108	39	100	10	57	71	20	99	102	292	117	9	19	67	5	14	0	41	47	14	9	73	169	27	44	0	5	26	14	18	0	13	0	12	0	0	25	7	24	0	0	0	3	3	0	0	6	0	0	3	8	0	0
Preg.Feces.PD.2152.week6.2	1740	586	5764	359	3024	173	284	4147	938	491	176	134	133	775	351	1395	45	121	300	817	3	2088	0	54	280	65	0	149	27	188	222	47	235	216	32	0	47	82	0	94	15	0	0	103	10	21	0	0	39	0	0	0	54	0	15	2	50	8	0	0	0	6	0	0	0	0	5	0	0	0	5	0	5	0	0	0	0	4
Preg.Feces.PD.2211.week0	1645	199	17315	222	1561	687	20	112	260	615	371	282	171	54	326	57	47	37	17	14	87	516	116	122	388	313	75	180	53	115	45	10	131	185	15	0	33	0	72	19	24	0	14	33	18	25	0	71	31	7	64	65	36	28	4	7	10	12	3	0	17	0	0	8	9	0	0	7	0	0	0	0	0	0	0	0	0	0
Preg.Feces.PD.2211.week3	1435	1275	3503	1646	6161	171	229	97	0	507	184	39	83	578	678	42	585	156	54	14	84	2066	6	11	27	44	375	231	117	236	367	201	336	455	397	0	28	134	68	91	47	0	51	183	55	64	6	2	113	5	5	12	125	11	37	4	92	5	10	54	21	35	4	13	0	11	9	0	8	5	20	8	11	5	0	2	0	0
Preg.Feces.PD.2211.week6.2	1554	219	9069	69	1131	1140	68	177	0	814	237	315	472	67	225	115	23	57	84	33	14	604	134	127	276	66	47	85	14	69	83	24	114	103	26	44	0	0	23	55	18	0	33	29	19	7	0	0	15	0	0	18	38	0	5	0	12	18	0	33	6	0	0	5	0	0	0	0	3	0	3	0	0	0	0	0	0	0
Preg.Feces.PD.2222.week0	1910	135	17009	70	2070	518	781	41	7	799	190	161	330	253	161	124	22	45	36	16	182	783	10	115	124	241	117	127	16	115	94	0	145	247	42	181	128	7	108	16	32	0	54	27	13	29	19	9	27	11	0	25	65	28	7	3	13	4	13	0	7	6	6	15	12	5	0	5	2	0	0	0	0	0	0	0	0	0
Preg.Feces.PD.2222.week3	1604	1185	9666	2903	3504	111	718	111	0	431	108	2192	103	38	290	14	1113	132	25	17	163	1694	14	28	100	318	694	150	212	162	630	0	269	580	538	149	9	42	52	69	54	0	57	84	59	52	68	3	141	11	0	21	87	46	19	5	96	6	18	178	5	2	12	41	6	10	4	2	18	14	15	19	4	11	0	4	11	0
Preg.Feces.PD.2222.week6.2	723	1021	10475	480	2010	246	174	366	0	206	60	608	79	238	120	147	70	108	18	35	47	919	430	37	226	397	195	72	20	113	231	0	107	121	32	94	46	51	797	0	16	0	26	27	11	0	82	50	37	14	0	30	31	61	11	0	86	0	31	0	0	3	0	18	0	2	4	6	4	0	5	0	0	0	2	0	7	30
Preg.Feces.PD.2229.week0	4759	278	13115	325	2526	951	180	287	86	1249	504	151	614	355	820	145	90	121	40	67	591	1228	87	205	150	109	61	316	34	288	140	6	338	571	31	36	147	28	379	15	39	0	31	101	27	49	0	0	125	3	0	22	65	9	19	18	69	4	32	0	13	11	4	25	56	12	0	13	0	0	10	0	0	0	7	0	0	0
Preg.Feces.PD.2229.week3	2176	970	12643	1384	3076	557	2497	443	6013	701	180	11	113	529	322	74	1024	105	40	26	49	1811	5	46	149	436	112	179	143	148	419	55	166	524	647	120	24	120	112	29	32	1701	69	58	19	27	0	0	109	6	0	9	101	13	11	8	106	3	39	0	4	23	6	11	0	3	2	0	7	3	0	11	0	6	0	0	0	0
Preg.Feces.PD.2229.week6.2	822	1489	11494	20	2889	488	14	236	83	42	82	3074	59	112	151	89	5	141	129	78	16	1050	124	159	286	169	111	202	77	430	119	0	371	620	8	31	82	35	6	21	57	12	9	73	43	32	5	13	48	0	0	15	17	0	22	32	70	25	0	0	0	7	0	4	37	5	3	7	0	0	0	0	0	0	5	0	0	0
