feature	ASV1	ASV2	ASV3	ASV4	ASV10	ASV11	ASV13	ASV15	ASV17	ASV18	ASV27	ASV28	ASV33	ASV36	ASV53	ASV62	ASV63	ASV67	ASV68	ASV73	ASV74	ASV76	ASV81	ASV82	ASV86	ASV87	ASV88	ASV90	ASV93	ASV99	ASV100	ASV105	ASV107	ASV108	ASV117	ASV121	ASV126	ASV129	ASV137	ASV138	ASV139	ASV147	ASV148	ASV161	ASV169	ASV182	ASV188	ASV190	ASV205	ASV215	ASV226	ASV228	ASV233	ASV234	ASV238	ASV240	ASV245	ASV261	ASV262	ASV263	ASV275	ASV301	ASV348	ASV362	ASV365	ASV369	ASV399	ASV404	ASV412	ASV414	ASV419	ASV439	ASV449	ASV493	ASV498	ASV504
Preg.Feces.PD.2104.week0	515	133	6089	413	778	533	70	27	159	279	109	148	88	90	85	11	86	34	8	6	32	328	0	97	70	51	38	59	8	67	52	0	83	99	9	18	61	26	330	10	14	20	30	14	15	0	7	5	21	38	49	11	45	10	7	0	17	10	4	0	18	0	6	12	0	4	3	0	4	0	0	0	0	0	0	0
Preg.Feces.PD.2104.week3	2159	478	5999	2476	1725	100	1200	377	0	456	198	5	43	431	641	46	1414	22	47	22	224	1975	0	3	40	64	17	139	11	104	204	0	159	217	500	0	9	29	5	31	13	0	11	19	13	9	0	0	24	0	0	16	50	2	4	0	69	0	0	27	0	54	3	0	0	0	4	0	3	0	2	0	0	0	0	0
Preg.Feces.PD.2104.week6.2	2927	137	2977	299	989	301	24	141	0	1321	141	164	168	152	282	89	68	27	168	180	20	804	0	43	112	9	39	83	33	73	88	0	135	119	21	0	12	36	25	37	31	21	0	27	13	16	0	6	23	0	0	3	12	0	5	0	41	17	0	0	0	0	0	0	0	2	2	0	0	0	0	0	4	2	0	0
Preg.Feces.PD.2106.week0	659	612	3892	87	1520	454	22	369	115	399	78	45	92	183	193	25	24	113	38	95	50	1189	3	87	59	75	82	209	35	181	110	3	251	318	0	13	27	45	115	119	32	25	19	51	35	12	0	0	62	19	129	7	56	0	16	15	77	14	12	0	17	17	0	6	0	4	8	0	2	0	6	0	0	0	0	0
Preg.Feces.PD.2106.week3	521	1620	467	540	4202	46	114	152	3	157	141	22	23	724	241	10	240	63	107	5	62	2055	0	0	0	0	68	101	33	115	149	102	119	397	87	0	0	69	47	76	14	0	21	84	31	9	0	0	55	0	0	0	53	0	11	9	47	11	49	0	22	81	0	0	0	0	8	0	0	5	11	0	3	0	0	0
Preg.Feces.PD.2106.week6.2	1437	195	1609	63	3144	468	19	4124	3	520	11	421	17	1791	651	220	14	162	81	261	17	2017	113	19	11	24	0	137	38	236	284	91	314	233	18	5	0	132	0	116	27	0	0	56	13	7	0	0	45	3	0	0	20	0	0	6	58	11	0	0	0	6	0	0	3	0	4	0	0	0	30	0	5	0	0	0
Preg.Feces.PD.2114.week0	978	74	7899	256	453	346	103	35	154	323	161	290	158	84	97	40	40	16	0	23	110	218	59	193	116	131	46	55	7	20	41	12	29	44	18	29	29	6	119	6	8	0	22	21	5	7	0	0	15	72	29	17	25	19	3	0	12	0	0	0	19	0	0	10	36	0	0	2	0	0	0	0	0	0	0	0
Preg.Feces.PD.2114.week3	455	2698	546	288	4991	28	55	880	3	230	129	9	21	289	246	65	96	103	39	36	37	1893	0	4	7	12	71	409	37	466	314	57	125	493	64	17	0	115	15	91	20	0	27	247	27	14	0	0	31	13	10	0	126	2	30	7	75	0	21	0	10	20	0	2	0	0	4	0	0	3	14	0	7	3	0	0
Preg.Feces.PD.2114.week6.2	1727	307	4160	366	1446	624	15	1139	0	714	0	368	28	1274	881	358	61	91	378	298	194	1477	94	75	35	28	0	84	64	137	200	101	159	64	27	0	0	120	0	145	33	0	0	62	7	0	0	0	50	0	0	0	22	0	7	8	23	23	0	0	0	0	0	0	7	0	0	0	0	0	14	0	0	0	3	0
Preg.Feces.PD.2169.week0	1170	60	18475	845	456	499	35	72	26	412	317	114	236	49	65	81	200	11	0	9	113	177	59	83	321	327	22	95	17	49	34	0	49	45	35	47	38	20	77	0	18	0	0	41	15	8	19	37	21	46	0	19	28	41	4	0	0	0	9	0	6	0	4	6	0	0	0	13	12	0	0	0	0	0	0	0
Preg.Feces.PD.2169.week3	1456	334	2480	4614	2981	160	192	268	0	394	359	8	124	926	255	26	1062	107	43	51	62	1601	0	0	11	39	248	188	107	160	182	415	95	404	189	84	0	135	14	39	30	0	49	114	31	11	4	0	107	42	0	0	89	0	12	3	65	31	26	63	0	22	15	0	0	4	8	0	6	0	5	4	3	0	0	4
Preg.Feces.PD.2169.week6.2	1346	263	3787	289	3223	174	3	2834	0	272	134	525	34	1289	382	191	57	97	250	148	79	1816	50	17	47	33	9	160	25	175	193	329	222	301	25	0	33	34	95	174	38	0	7	122	16	31	0	0	70	0	0	0	65	3	7	0	94	8	0	5	0	2	0	0	0	0	7	0	3	0	34	0	4	3	2	0
Preg.Feces.PD.2186.week0	1204	84	23332	731	275	465	122	17	331	381	76	614	150	26	60	21	214	10	0	8	46	105	11	184	163	366	27	41	39	22	36	0	23	25	27	29	8	0	61	4	0	0	17	13	6	0	6	41	0	0	0	17	6	7	0	0	6	0	3	0	33	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Preg.Feces.PD.2186.week3	874	58	2060	1263	946	47	514	93	552	292	87	7	13	208	255	29	529	20	21	8	42	565	0	4	17	66	10	68	0	57	91	0	85	141	69	55	4	64	59	11	9	77	24	31	15	17	12	0	17	9	0	6	34	8	10	0	33	0	11	10	0	0	3	11	0	0	0	2	0	0	0	0	0	0	0	2
Preg.Feces.PD.2186.week6.2	727	108	3668	749	1579	170	209	1691	0	192	0	447	4	792	349	213	87	78	317	41	22	1114	30	33	14	62	0	96	5	265	121	0	127	148	40	0	38	48	0	69	27	0	0	65	42	0	0	8	34	0	0	3	35	0	5	0	29	11	0	0	0	10	0	0	0	0	6	3	0	4	23	0	7	0	0	0
